,file,topic,statement_1,statement_2,label
0,./to_process\debate.show.A_nation_is_considered_great_by_lj.xml,A nation is considered great by..................,"Taxes are not theft as they are within the law. 
""Teenagers leave home now while you still know everything."" This quote comes to mind whenever I attempt to debate with you. Wait until you get some age on you and a real grasp of how things really are, like when your drawing unemployment benefits and collecting social security. I suggest you refuse these things or you'll just be a hypocrite.","<b>Taxes are not theft as they are within the law.</b>
Theft: taking of another person's property without that person's permission or consent with the intent to deprive the rightful owner of it.
Just because some cronies in Washington say its morale and just does not make it morale and just.
<b>""Teenagers leave home now while you still know everything."" This quote comes to mind whenever I attempt to debate with you. Wait until you get some age on you and a real grasp of how things really are</b>
You know, I really hate to personally insult people on here, however, you can go fuck yourself. Just because I am young does not mean you are right. Just because I am young does not mean I am not smart or knowledgeable. Please, if you're going to debate me, keep your petty and idiotic thoughts to yourself. I am 17, my mind is strong, learns quick and grasps concepts easily. You're 50, you walk into rooms and forget why you came in, your memory is failing, your body is becoming weak and you're at risk for mini-strokes. If anything my age gives me a mental advantage over you.
<b>like when your drawing unemployment benefits and collecting social security. I suggest you refuse these things or you'll just be a hypocrite.</b>
You put a gun to my head and say ""pay for these chips or I shoot"" am I hypocrite if I eat one of the chips? Of course not, I was the one who payed for them in the first place. Taxation is theft and it is immoral, if I am forced into paying for a service I am not a hypocrite for using a service that I've been forced to pay for.",4.0
1,./to_process\debate.show.A_good_career_is_impossible_without_mathematics_lj.xml,A good career is impossible without mathematics,"If you are bad at maths, it means you are bad at following instructions. It also means you aren't so good at problem solving, logical thinking, or are just lazy.
For a good career you need all these qualities. Plus, you use maths all the time in any job worth its salt.","<b>If you are bad at maths, it means you are bad at following instructions. It also means you aren't so good at problem solving, logical thinking, or are just lazy.</b>
You are so WRONG.
The high school I attended, 5 years or so ago. There was a classmate, he <i><b>SUCKED</b></i> at maths but was a <i>genius</i> in physics. Although he did get much better closer to the graduation. But then again that school isn't for stupid students, you actually have to have some natural intelligence, or a strong will to learn a lot, to graduate there. The level of education is much higher than elsewhere.
<b>Plus, you use maths all the time in any job worth its salt.</b>
Do successful film producers need math, or successful <i>writers</i> (you know, the people who make things up and manage to sell them for hundreds of thousands and even millions)? If they need math, they hire someone who can do it, although managing money is easy, you don't need any intricate equations.",4.0
2,./to_process\debate.show.A_hierarchy_of_good_is_proof_of_a_good_God_lj.xml,A &quot;hierarchy of good&quot; is proof of a good God.,"I have actually already addressed your Hitler genocide point and demonstrated why it a fallacious attempt to deconstruct moral evolution. To make a basic reiteration, however, evolution of the human species exerts force for both individual and collective survival and perpetuation. There is also no reason at all to think that enacting genocide would be in any way advantageous to individual reproduction.
I suggest you read <i>The Origins of Morality: An Evolutionary Account</i> by Dennis Krebs for further elaboration. I am not especially interested in trying to explain much of anything to you at this point.","<b>demonstrated why it a fallacious attempt</b>
hahahahahahahaha no you haven't. You couldn't even address the topic of determinism and free will with your own definitions.....
<b>evolution of the human species exerts force for both individual and collective survival and perpetuation.</b>
Who says that? Evolution only argues that one's natural purpose is to pass one's genes down and to survive. If you can survive more so, and pass you genes down, then it doesn't matter if you kill everyone. 
<b>There is also no reason at all to think that enacting genocide would be in any way advantageous to individual reproduction.</b>
If you kill out those who have x trait, which is disadvantageous to the humanity, then it follows that it is moral for them to be exterminated.
<b>I suggest you read The Origins of Morality: An Evolutionary Account by Dennis Krebs for further elaboration. I am not especially interested in trying to explain much of anything to you at this point.</b>
You should read some philosophical accounts of morality. Lets look at actual critical thought, not cheap scumbag morality.",4.0
3,./to_process\debate.show.A_hierarchy_of_good_is_proof_of_a_good_God_lj.xml,A &quot;hierarchy of good&quot; is proof of a good God.,"<b>demonstrated why it a fallacious attempt</b>
hahahahahahahaha no you haven't. You couldn't even address the topic of determinism and free will with your own definitions.....
<b>evolution of the human species exerts force for both individual and collective survival and perpetuation.</b>
Who says that? Evolution only argues that one's natural purpose is to pass one's genes down and to survive. If you can survive more so, and pass you genes down, then it doesn't matter if you kill everyone. 
<b>There is also no reason at all to think that enacting genocide would be in any way advantageous to individual reproduction.</b>
If you kill out those who have x trait, which is disadvantageous to the humanity, then it follows that it is moral for them to be exterminated.
<b>I suggest you read The Origins of Morality: An Evolutionary Account by Dennis Krebs for further elaboration. I am not especially interested in trying to explain much of anything to you at this point.</b>
You should read some philosophical accounts of morality. Lets look at actual critical thought, not cheap scumbag morality.","<b>hahahahahahahaha no you haven't. You couldn't even address the topic of determinism and free will with your own definitions.....</b>
Actually I did specifically address your Hitler/genocide point, and you never directly refuted it. You came back saying I was ignorant and then never took up the point in that thread again. 
I also did address the topic of determinism and free will with the technical and standard definitions provided by multiple sources. I clearly explained my reasons for ceasing that discussion with you, multiple times. 
<b>Who says that? Evolution only argues that one's natural purpose is to pass one's genes down and to survive. If you can survive more so, and pass you genes down, then it doesn't matter if you kill everyone.</b>
But you cannot survive and reproduce more by killing everyone.
<b>If you kill out those who have x trait, which is disadvantageous to the humanity, then it follows that it is moral for them to be exterminated.</b>
Except that there is no proof that any genocide has actually ever been advantageous to humanity. In fact, the opposite is true. 
<b>You should read some philosophical accounts of morality. Lets look at actual critical thought, not cheap scumbag morality.</b>
I have. I also read outside of abstract philosophical considerations and ground my analysis in multiple disciplines. Something you should consider. The individual who wrote this particular publication is not a cheap scumbag but a <a href='http://www.sfu.ca/psyc/faculty/krebs/publications/krebs_cv_2011.pdf'>reputable source</a>.",4.0
4,./to_process\debate.show.A_human_being_in_the_fetal_stage_of_their_life_is_a_HUMAN_being_no_troll_version_lj.xml,A human being in the fetal stage of their life is a &quot;HUMAN being.&quot; (no troll version),"As I posted in response to Chuz-Life on the troll debate before he banned everyone who disagreed:
<i>
If you believe this is a logical argument against abortion, then you have to by definition agree that a human being in the sperm state is a human being, or for females, a human being in the egg state is still a human being,
And then you must logically stop petitioning humans to follow your odd dogma, and spend that time demanding god do so, since in these states god, via nature, aborts far more humans than have ever even been in the fetal state, in all of human history.
Or if you are a reasonable being you could realize that the determining factor is self-awareness and not what that thing will someday perhaps become,
And accept that if one decides to have an abortion prior to the third trimester, nothing in fact is lost at all, not a human, nothing. Nothing more than all of the zillions of sperm and eggs who were never turned into people.</i>","<b>then you have to by definition agree that a human being in the sperm state is a human being, or for females, a human being in the egg state is still a human being</b>
neither sperm or egg have the capacity to become human <i>unless</i> they fuse together. They are half of a human being and will never grow to be human and are never human, but a foetus is human because it has the necessary prerequisites to be considered human.
<b>And then you must logically stop petitioning humans to follow your odd dogma, and spend that time demanding god do so, since in these states god, via nature, aborts far more humans than have ever even been in the fetal state, in all of human history.</b>
I'll certainly entertain this argument. There is a difference between us and God- we can't create one hair on a child's body or a foetus from literal nothing, but God can, and because he can, he can abort as many babies as he wants.
<b>Or if you are a reasonable being you could realize that the determining factor is self-awareness and not what that thing will someday perhaps become</b>
Because we can't communicate with a foetus it isn't self aware. That's rubbish. Just because you can't speak to it doesn't make it unaware of what is happening around it. It is aware enough to collect the necessary nutrients to keep living, growing and specializing cells it needs for independent living. Anything that can do this is a little self aware. By your argument, people in a vegetative state are 'not aware' but yet we still feel the obligation to stick IV fluids in there arms and keep them alive.
<b>And accept that if one decides to have an abortion prior to the third trimester, nothing in fact is lost at all, not a human, nothing. Nothing more than all of the zillions of sperm and eggs who were never turned into people.</b>
If your mother decided to <i>abort</i> you I wouldn't have to have this conversation with you. And I think that counts as a loss",4.0
5,./to_process\debate.show.A_human_being_in_the_fetal_stage_of_their_life_is_a_HUMAN_being_no_troll_version_lj.xml,A human being in the fetal stage of their life is a &quot;HUMAN being.&quot; (no troll version),"<b>But once they became together as one and fertilized to create a fetus, it is already meant to become and be treated as a human being.</b>
Fact: At the point of conception the fetus has no more self awareness than the sperm or the egg individually, nor does it 3 to 6 months after that point. After six months it may have the self-awareness of an insect. 
So my analogy is factually correct. 
But you are not basing your idea on facts, which is fine, I'm happy to address your concerns as well,
you are using potential. You believe that thing, upon conception is meant to be. 
You've said so and I will show you where, but let's not gloss over exactly what you believe because I find it is helpful for individuals, like yourself, who have an invested ideological incentive to thoughtlessly defend an indefensible position.
You believe, literally, that of the millions of sperm in each ejaculation, and of the 300,000 eggs a woman has in her body, that those very two were meant to meet at that very time. Keep in mind all of the billions of people in the world as well. You believe that it was preordained for those two people to meet at exactly that time, have exactly that egg ovulating, and exactly that one sperm would win the race. 
This is your belief, there was no free will, you did not choose, you were controlled by some divine power to make it just so regardless of the astronomical odds. That is the only thing that ""<b>it is already meant to become and be treated as a human being</b>"" can ever mean.
It is important to describe this exactly because people who say this rarely or never think of the true implications of it. There is no other implication for the statement ""<b>it is already meant to become and be treated as a human being.</b>"" To be true there necessarily <i>cannot</i> be free will at all or choice at all.
But okay, that is what you believe. 
If that is the case, then the person who aborts also has no free will.
This too is necessarily true because every action has a reaction, and if all potential was ""<b>meant to become</b>"" then at some point an abortion which was <i>not</i> ""<b>meant to be</b>"" would result in a different child than would have been born, who'd consequently have different DNA, who'd consequently make different kids than were meant to be, 
etc, etc, etc,
This is not outlandish or silly. It is the <i>only</i> conclusion to your theory of ""<b>meant to become</b>,"" the only one.
If you have free will then humans are random and you <i>have to</i> measure life by self-awareness because everything else is too random to apply. 
If you do not have free will than humans are not random, in which case you are correct, but at the very same time you have no right to deny another an abortion because that too <i>has to be</i> in order for your own theory to work.
Logically, you prove my point.","<b>Fact: At the point of conception the fetus has no more self awareness than the sperm or the egg individually, nor does it 3 to 6 months after that point. After six months it may have the self-awareness of an insect.</b>
- Lets take a close look at Biological Studies shall we?
<a href='http://lisacruz2.tripod.com/id30.html'>According to biology</a>, the characteristics of living creatures are as follows
<i>1. Living things are highly organized, from the smallest part to the largest.
2. All living things have an ability to acquire materials and energy.
3. All living things have an ability to respond to their environment.
4. All living things have an ability to reproduce.
5. All living things have an ability to adapt.</i>
Right at the very moment the sperm makes contact with the egg, the egg starts to act independently, It starts to organize, it quickly leans how to acquire nutrition and use it, it knows how to respond to their environment and knows how to adapt to it. It even knows how to reproduce by dividing its cells over and over.
An ordinary Egg and Sperm cannot do any of this. Which concludes that Life starts at conception.
<b>There is no other implication for the statement ""it is already meant to become and be treated as a human being."" </b>
-Your right, meant to become is different from being treated as one, because since fertilization, <b>fetuses are already a human</b>
P.S
The rest of your post are just repetition of the same arguments. And just why in the world would you drag a Free Will argument in here?",4.0
6,./to_process\debate.show.A_human_being_in_the_fetal_stage_of_their_life_is_a_HUMAN_being_no_troll_version_lj.xml,A human being in the fetal stage of their life is a &quot;HUMAN being.&quot; (no troll version),"<b>Fact: At the point of conception the fetus has no more self awareness than the sperm or the egg individually, nor does it 3 to 6 months after that point. After six months it may have the self-awareness of an insect.</b>
- Lets take a close look at Biological Studies shall we?
<a href='http://lisacruz2.tripod.com/id30.html'>According to biology</a>, the characteristics of living creatures are as follows
<i>1. Living things are highly organized, from the smallest part to the largest.
2. All living things have an ability to acquire materials and energy.
3. All living things have an ability to respond to their environment.
4. All living things have an ability to reproduce.
5. All living things have an ability to adapt.</i>
Right at the very moment the sperm makes contact with the egg, the egg starts to act independently, It starts to organize, it quickly leans how to acquire nutrition and use it, it knows how to respond to their environment and knows how to adapt to it. It even knows how to reproduce by dividing its cells over and over.
An ordinary Egg and Sperm cannot do any of this. Which concludes that Life starts at conception.
<b>There is no other implication for the statement ""it is already meant to become and be treated as a human being."" </b>
-Your right, meant to become is different from being treated as one, because since fertilization, <b>fetuses are already a human</b>
P.S
The rest of your post are just repetition of the same arguments. And just why in the world would you drag a Free Will argument in here?","<b>The rest of your post are just repetition of the same arguments. And just why in the world would you drag a Free Will argument in here?</b>
It is not a repeated argument, it is explaining your position. And it has everything to do with free will, which I explain in the ""rest"" which you did not understand I'm guessing. You argue that these fetuses were <i>meant to be</i> which means they are pre-ordained, which means there was no choice in their conception.
<b>1. Living things are highly organized, from the smallest part to the largest.
2. All living things have an ability to acquire materials and energy.
3. All living things have an ability to respond to their environment.
4. All living things have an ability to reproduce.
5. All living things have an ability to adapt.</b>
This is inconsequential unless you also believe viruses, fungi, etc have the rights of that fetus.
The basis of your argument is potential no matter how much you ignore or, more likely, don't understand your own argument. 
And when potential is the argument sperm and eggs should be treated equally to the fetus.",4.0
7,./to_process\debate.show.A_human_being_in_the_fetal_stage_of_their_life_is_a_HUMAN_being_no_troll_version_lj.xml,A human being in the fetal stage of their life is a &quot;HUMAN being.&quot; (no troll version),"<b>The rest of your post are just repetition of the same arguments. And just why in the world would you drag a Free Will argument in here?</b>
It is not a repeated argument, it is explaining your position. And it has everything to do with free will, which I explain in the ""rest"" which you did not understand I'm guessing. You argue that these fetuses were <i>meant to be</i> which means they are pre-ordained, which means there was no choice in their conception.
<b>1. Living things are highly organized, from the smallest part to the largest.
2. All living things have an ability to acquire materials and energy.
3. All living things have an ability to respond to their environment.
4. All living things have an ability to reproduce.
5. All living things have an ability to adapt.</b>
This is inconsequential unless you also believe viruses, fungi, etc have the rights of that fetus.
The basis of your argument is potential no matter how much you ignore or, more likely, don't understand your own argument. 
And when potential is the argument sperm and eggs should be treated equally to the fetus.","<b> You argue that these fetuses were meant to be which means they are pre-ordained, which means there was no choice in their conception</b>
-ahhh...now I understand. And yes, biology itself confirms a new independent DNA was created the moment that fertilization occurs, which means that life has taken place. And with life comes respect for it.
<b>This is inconsequential unless you also believe viruses, fungi, etc have the rights of that fetus.</b>
-You do realize that viruses has no chance of becoming a human right? My point is that life starts at the womb and so does their humanity.
I take back my word, There is no such thing as ""Potential to be a human"" there is only ""The beginning of life""",4.0
8,./to_process\debate.show.A_human_being_in_the_fetal_stage_of_their_life_is_a_HUMAN_being_no_troll_version_lj.xml,A human being in the fetal stage of their life is a &quot;HUMAN being.&quot; (no troll version),"<b>then you have to by definition agree that a human being in the sperm state is a human being, or for females, a human being in the egg state is still a human being</b>
neither sperm or egg have the capacity to become human <i>unless</i> they fuse together. They are half of a human being and will never grow to be human and are never human, but a foetus is human because it has the necessary prerequisites to be considered human.
<b>And then you must logically stop petitioning humans to follow your odd dogma, and spend that time demanding god do so, since in these states god, via nature, aborts far more humans than have ever even been in the fetal state, in all of human history.</b>
I'll certainly entertain this argument. There is a difference between us and God- we can't create one hair on a child's body or a foetus from literal nothing, but God can, and because he can, he can abort as many babies as he wants.
<b>Or if you are a reasonable being you could realize that the determining factor is self-awareness and not what that thing will someday perhaps become</b>
Because we can't communicate with a foetus it isn't self aware. That's rubbish. Just because you can't speak to it doesn't make it unaware of what is happening around it. It is aware enough to collect the necessary nutrients to keep living, growing and specializing cells it needs for independent living. Anything that can do this is a little self aware. By your argument, people in a vegetative state are 'not aware' but yet we still feel the obligation to stick IV fluids in there arms and keep them alive.
<b>And accept that if one decides to have an abortion prior to the third trimester, nothing in fact is lost at all, not a human, nothing. Nothing more than all of the zillions of sperm and eggs who were never turned into people.</b>
If your mother decided to <i>abort</i> you I wouldn't have to have this conversation with you. And I think that counts as a loss","<b>neither sperm or egg have the capacity to become human unless they fuse together. They are half of a human being and will never grow to be human and are never human, but a foetus is human because it has the necessary prerequisites to be considered human.</b>
I could say no fertilized egg has the capacity to become a human unless it develops properly. I could say it does not have the capacity to become a human if the woman's birth canal is not wide enough. I could say it does not have the capacity to become a human via a million different scenarios, even after impregnation. 
So why is your arbitrary point of ""humanity"" correct? 
I say it is not. I believe the point at which it should be treated with this integrity is the point at which it has feelings, self-awareness, consciousness. 
Which is well after the point abortion is not allowed already except in extreme cases. 
<b>I'll certainly entertain this argument. There is a difference between us and God- we can't create one hair on a child's body or a foetus from literal nothing, but God can, and because he can, he can abort as many babies as he wants.</b>
Ah, so in your mind power has an inherent right to do with power what they please. But those without power must be held to a <i>higher</i> standard of morality than those with power. 
By your logic then, if one is rich and powerful, and another is poor and has no power, that rich person <i>should</i> have more rights.
This is your logic, which is fine, religion is weird like that.
I disagree. 
I believe if anything an all powerful being should be held to a higher standard of morality. If your god existed as you describe, this being should be despised in fact for abuse of that power.
But all of this is inconsequential to the subject of abortion because religion cannot be applied to legislation. It is unconstitutional and frankly stupid and backwards as you can plainly see simply by looking at nations who base law on religion presently and historically.
<b>Because we can't communicate with a foetus it isn't self aware. That's rubbish. Just because you can't speak to it doesn't make it unaware of what is happening around it. It is aware enough to collect the necessary nutrients to keep living, growing and specializing cells it needs for independent living. Anything that can do this is a little self aware.</b> 
Your information is incorrect. We know when a foetus is somewhat conscious by the development of the brain, not by whether we can communicate, obviously. And abortion is not allowed well before this point already, except in extreme circumstances. 
<b>By your argument, people in a vegetative state are 'not aware' but yet we still feel the obligation to stick IV fluids in there arms and keep them alive.</b>
1. We only feel the obligation to keep them alive when it is their will, set out prior to this disaster, or where the family decides when there is no such will present. Otherwise if doctors determine there is no hope for rehabilitation taking these people off of life support is in no way immoral. Sometimes it is the more moral choice when that individual may be in pain. So again, you are arguing with incorrect information.
2. Your analogy is incorrect because that person has a developed brain which is capable of conscious, perhaps depending on level of vegetation. A foeus is not in any way capable of this. These parts of the brain do not yet exist.
<b>If your mother decided to abort you I wouldn't have to have this conversation with you. And I think that counts as a loss</b>
Or if my mother would have had sex with my dad two days earlier or two days later it would have been a different batch of sperm and I'd not exist. Or if it were a different angle and a different sperm won the race I'd not exist. Or if they'd have never met. Or all of those scenarios for each of their parents, or each of those scenarios for each of their parent's parents, etc etc etc.
There are trillions upon trillions of scenarios in which I don't exist, someone else exists, several someone elses exist, none exist, etc. 
And in all instances none would know the difference, including myself.",4.0
9,./to_process\debate.show.A_human_being_in_the_fetal_stage_of_their_life_is_a_HUMAN_being_no_troll_version_lj.xml,A human being in the fetal stage of their life is a &quot;HUMAN being.&quot; (no troll version),"Alright, that is a bit more defensible, but as a personal belief. 
But if one does not believe that the point at which this DNA is created by the combination of the sperm and the egg is in any way special, by what measure should they judge the sanctity of this life? 
Can you see that if one does not believe this is special, that if that ""life"" has no feeling, no conscious, no self-awareness, that person would not feel compelled in any way to treat this ""life"" with the integrity of a being who <i>is</i> conscious and self-aware? 
You've chosen the point at which you want something to be considered human based on a biological step, just as pro-choice individuals base the point they consider something to be human on a biological step. 
The only difference is what that biological step is. 
For pro-choice it is conscious and self-awareness. For you it is before.
What do you believe makes you correct? 
Why should you get to determine what others believe to be correct if no thing is harmed? 
I don't think you have that right. Which is the reason pro-choice is the sensible position. 
No one is hurt, and no one is forced to act against their will.
Outlawing abortion does not work anyway, humans have tried it off and on throughout history. It only leads to more dead mothers, more botched abortions in back alleys and basements, and more secrecy when young women become pregnant.
It is the less humane position when applied in real life.","<b>But if one does not believe that the point at which this DNA is created by the combination of the sperm and the egg is in any way special, by what measure should they judge the sanctity of this life?</b>
- My argument stands that life starts at conception. if you cannot accept my philosophy, then your answer is something for me to dispute
<b>Can you see that if one does not believe this is special,that person would not feel compelled in any way to treat this ""life"" with the integrity of a being who is conscious and self-aware?</b>
- Same argument once more; <b>Legal isn't always Moral</b>
<b>For pro-choice it is conscious and self-awareness. For you it is before.What do you believe makes you correct?</b>
- Simple answer: I value life
Our value for life defines our community
<b>No one is hurt, and no one is forced to act against their will.</b>
- Same excuse can be said to Cheating, Bribery, Drug and alcohol abuse. no one is hurt nor forced to act against their will. But why does it feel so wrong?
<b>Outlawing abortion does not work anyway</b>
- My friend, that is the excuse of the lowlifes. The ineffectiveness of the solution is not an excuse to allow immorality to run about
<b>It is the less humane position when applied in real life.</b>
Fact: Abortion is the murder of a helpless child.",4.0
10,./to_process\debate.show.A_human_being_in_the_fetal_stage_of_their_life_is_a_HUMAN_being_no_troll_version_lj.xml,A human being in the fetal stage of their life is a &quot;HUMAN being.&quot; (no troll version),"<b>neither sperm or egg have the capacity to become human unless they fuse together. They are half of a human being and will never grow to be human and are never human, but a foetus is human because it has the necessary prerequisites to be considered human.</b>
I could say no fertilized egg has the capacity to become a human unless it develops properly. I could say it does not have the capacity to become a human if the woman's birth canal is not wide enough. I could say it does not have the capacity to become a human via a million different scenarios, even after impregnation. 
So why is your arbitrary point of ""humanity"" correct? 
I say it is not. I believe the point at which it should be treated with this integrity is the point at which it has feelings, self-awareness, consciousness. 
Which is well after the point abortion is not allowed already except in extreme cases. 
<b>I'll certainly entertain this argument. There is a difference between us and God- we can't create one hair on a child's body or a foetus from literal nothing, but God can, and because he can, he can abort as many babies as he wants.</b>
Ah, so in your mind power has an inherent right to do with power what they please. But those without power must be held to a <i>higher</i> standard of morality than those with power. 
By your logic then, if one is rich and powerful, and another is poor and has no power, that rich person <i>should</i> have more rights.
This is your logic, which is fine, religion is weird like that.
I disagree. 
I believe if anything an all powerful being should be held to a higher standard of morality. If your god existed as you describe, this being should be despised in fact for abuse of that power.
But all of this is inconsequential to the subject of abortion because religion cannot be applied to legislation. It is unconstitutional and frankly stupid and backwards as you can plainly see simply by looking at nations who base law on religion presently and historically.
<b>Because we can't communicate with a foetus it isn't self aware. That's rubbish. Just because you can't speak to it doesn't make it unaware of what is happening around it. It is aware enough to collect the necessary nutrients to keep living, growing and specializing cells it needs for independent living. Anything that can do this is a little self aware.</b> 
Your information is incorrect. We know when a foetus is somewhat conscious by the development of the brain, not by whether we can communicate, obviously. And abortion is not allowed well before this point already, except in extreme circumstances. 
<b>By your argument, people in a vegetative state are 'not aware' but yet we still feel the obligation to stick IV fluids in there arms and keep them alive.</b>
1. We only feel the obligation to keep them alive when it is their will, set out prior to this disaster, or where the family decides when there is no such will present. Otherwise if doctors determine there is no hope for rehabilitation taking these people off of life support is in no way immoral. Sometimes it is the more moral choice when that individual may be in pain. So again, you are arguing with incorrect information.
2. Your analogy is incorrect because that person has a developed brain which is capable of conscious, perhaps depending on level of vegetation. A foeus is not in any way capable of this. These parts of the brain do not yet exist.
<b>If your mother decided to abort you I wouldn't have to have this conversation with you. And I think that counts as a loss</b>
Or if my mother would have had sex with my dad two days earlier or two days later it would have been a different batch of sperm and I'd not exist. Or if it were a different angle and a different sperm won the race I'd not exist. Or if they'd have never met. Or all of those scenarios for each of their parents, or each of those scenarios for each of their parent's parents, etc etc etc.
There are trillions upon trillions of scenarios in which I don't exist, someone else exists, several someone elses exist, none exist, etc. 
And in all instances none would know the difference, including myself.","<b>I could say no fertilized egg has the capacity to become a human unless it develops properly.</b>
Yeah and I am saying it is human because it has the necessary prerequisites to be human
<b>I could say it does not have the capacity to become a human if the woman's birth canal is not wide enough. </b>
Despite what you could say, the birth canal has nothing do with the child being human.
Besides we dont need birth canals when we can do C-sections.
<b>I could say it does not have the capacity to become a human via a million different scenarios, even after impregnation.</b>
You could and you stand beside one scenario, thats why we are having this conversation.
<b>So why is your arbitrary point of ""humanity"" correct?</b>
Yeah I'm sure its right. Let me ask you a question if it isn't human, what species is it.Is humanity now status that one obtains throughout achieving/having things that are either out of there reach/control. It reminds me of the racial comments the 'whites' used to pour out. Because Africans were black and wore practically no clothes they were subhuman- and now because a foetus doesn't have brain, it is also sub-human.
<b>I say it is not. I believe the point at which it should be treated with this integrity is the point at which it has feelings, self-awareness, consciousness.</b>
As far as I'm concerned a foetus is aware of its own existence because it is capable of organizing its cells and collecting the necessary nutrients for not only growth, but survival.
<b>Ah, so in your mind power has an inherent right to do with power what they please.</b>
Yes and no. It is not as if humanity is perfect, remember that most Gods in antiquity (yes its probably a gross generalization) only act this way when provoked. In all the historical cases I've read on still births or miscarriages where a God was involved, the soul of the unborn child gets repatriation after this dilemma. The personas of these Gods are not very bad- in fact they have all that power and answer to no one, so why give the soul of these babies heaven, or reincarnation or any form of repatriation to these children/parents. they have no obligation to and they still do it so they dont abuse there power like what you would like to believe.
<b>But those without power must be held to a higher standard of morality than those with power.</b>
No I am not holding human beings at a higher standard of morality- I do however think we lower our moral construct in order to find loopholes. This is why there is a yard stick for 'consciousness' when we cant even tell if someone is conscious or not when there in comatose. And I have a question- isn't to be conscious to be aware of ones surroundings? Are you aware during the first two years of life, during sleep, while under powerful anaesthesia? If you forfeit your consciousness, are you still human?
<b>By your logic then, if one is rich and powerful, and another is poor and has no power, that rich person should have more rights.</b>
They already do and are a determinant factor on whether the poor live or die, or if they get food, or money for an operation. What a grievance. And we have more power than a foetus and are the determinant factor on whether they live or die, or eat, or get to see the light of day, see a comparison?
<b>This is your logic, which is fine, religion is weird like that.</b>
In the three major world religions every God provides repatriation for those who are faithful, with a few exceptions.
<b>I believe if anything an all powerful being should be held to a higher standard of morality. If your god existed as you describe, this being should be despised in fact for abuse of that power.</b>
You probably didn't factor in the afterlife of the current day religions- In Hinduism, the baby is reincarnated as something else and Hindus are implored to treat animals with respect because there souls are human in essence. No harm done there i guess. In Christianity and Judaism, the one account of an abortion carried out by God ended up with child in heaven. That's better than Earth? So I'm guessing God was doing the baby a favour.
<b>But all of this is inconsequential to the subject of abortion because religion cannot be applied to legislation. It is unconstitutional and frankly stupid and backwards as you can plainly see simply by looking at nations who base law on religion presently and historically.</b>
If its inconsequential, then you shouldn't have brought it up.
<b>Your information is incorrect. We know when a foetus is somewhat conscious by the development of the brain, not by whether we can communicate, obviously.</b>
Yes and the development of the brain suggests further response to stimulus like heartbeat, movement in the stomach and response to pain or noise, which is a form of communication.
<b>Otherwise if doctors determine there is no hope for rehabilitation taking these people off of life support is in no way immoral.</b>
Doctors can't truly determine if someone will come out of a vegetative state and regain consciousness. However with a foetus they know that baby will receive a state of conscious in a few months. If a person in comatose would have woken up in a week, or a month, or three months is it morally just to take that person off life support? Doctors remove people off life support only because of lack of surety and foetus is not a case of lack of surety. 
<b>Your analogy is incorrect because that person has a developed brain which is capable of conscious, perhaps depending on level of vegetation. A foetus is not in any way capable of this. These parts of the brain do not yet exist.</b>
Yeah and the computer that is shut down with no way of communicating with the user and no clear signs of reboot is just as good as a brand new computer with its parts being assembled. Better yet, the second one has more value.
<b>Or if my mother would have had sex with my dad two days earlier or two days later it would have been a different batch of sperm and I'd not exist. Or if it were a different angle and a different sperm won the race I'd not exist. Or if they'd have never met. Or all of those scenarios for each of their parents, or each of those scenarios for each of their parent's parents, etc etc etc.</b>
You went way too much back in time. The determinant factor in your existence was already placed as a foundation- you were a foetus. You can't argue against that. Yes there were other factors that could stop you from <b>existing</b>, but you do realize that you had to go behind the point of conception to validate your point point of non-existence. That means you did exist at the point of conception and you wre human at the point of conception",4.0
